#Testlevel

#Red Green Blue ;the higher the brighter ;>none< leads to no shadow
shadow:
none

time_mode:
DAY

spawnpoints:
#ID												;PosX;PosY	;Direction
exit											;07		;28			;east
default								;25		;23			;north
ladder									;31		;11				;north
elevator							;31		;34			;south
meteor_capsule	;24		;19			;east

tiledefinition:
#File name convention: inner if wall around player + direction ;outer if player can go around wall + direction of corner
#Naming: FChs_0  ShortName-[wall-hull-roof-floor]-[direction]-[number]
#layer: 0 => on floor ;1 => player hight ;2 => above player
#Floor
#code     ;name        ;spritename        										;blocker		;heightLayer		;fps ;totalFrames  ;cols ;rows ;frameWidth ;frameHeight ;hitboxOffsetX ;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning ;dialogueId ;dialogueFile ;unused0 ;unused1 ;unused2 ;unused3 ;unused4
black_    ;black							;img/void_64_64														;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
frt__s				;spaceway wall				;img/walls/spaceway/wall																																											;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
bck_h0				;hull													;img/walls/spaceway/SW_hull_s_cut																																		;true					;1												;0			;0												;0				;0				;0										;0											;000											;034											;064									;094										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
bck_h1				;hull													;img/walls/spaceway/SW_hull_s												 																									;true					;1												;0			;0												;0				;0				;0										;0											;000											;034											;064									;094										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
SWhs_w				;hull													;img/walls/spaceway/SW_hull_s_window						 																								;true					;1												;0			;0												;0				;0				;0										;0											;000											;034											;064									;094										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
panchT				;name													;img/walls/signs/pancheia_station									 																								;false				;2												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
SWdocT				;dock													;img/walls/spaceway/dock_top								  																													;true					;2												;0			;0												;0				;0				;0										;0											;000									 	;064									 	;064									;130										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
SWdocB				;dock													;img/walls/spaceway/dock_btm								  																													;true					;2												;0			;0												;0				;0				;0										;0											;000									 	;098									 	;064									;130										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4

#transporter
TRws_0				;transportwall				;img/walls/transporterhull/wall_0								   																							;true					;1												;0			;0												;0				;0				;0										;0											;000											;064											;064									;064										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
back_e				;transportHull				;img/walls/transporterhull/hull_e																																		;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
back_w				;transportHull				;img/walls/transporterhull/hull_w																																		;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
TRhs_0				;transportHull				;img/walls/transporterhull/hull_s_0							  																							;true					;1												;0			;0												;0				;0				;0										;0											;000											;064											;064									;064										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
TRhs_B				;transportwall				;img/walls/transporterhull/hull_s_0						   																							;true					;1												;0			;0												;0				;0				;0										;0											;000											;032											;064									;096										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
TRhsw0				;transportHull				;img/walls/transporterhull/inner_sw_0						 																							;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
TRhse0				;transportHull				;img/walls/transporterhull/inner_se_0						 																							;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
TRwnw0				;transportHull				;img/walls/transporterhull/inner_nw_0						 																							;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
TRwne0				;transportHull				;img/walls/transporterhull/inner_ne_0						 																							;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
fr_ne0				;transportHull				;img/walls/transporterhull/outer_ne						   																							;true					;1												;0			;0												;0				;0				;0										;0											;000											;064											;064									;064										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
fr_nw0				;transportHull				;img/walls/transporterhull/outer_nw					    																							;true					;1												;0			;0												;0				;0				;0										;0											;000											;064											;064									;064										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
TRwse0				;transportwall				;img/walls/transporterhull/outer_se							  																							;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
TRwsw0				;transportwall				;img/walls/transporterhull/outer_sw							  																							;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
dockTp				;dock													;img/walls/transporterhull/dock_top						   																							;true					;2												;0			;0												;0				;0				;0										;0											;000											;000											;064									;128										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
dockTL				;dock													;img/walls/transporterhull/dock_top_east				 																						;true					;2												;0			;0												;0				;0				;0										;0											;000											;000											;064									;128										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
dockBm				;dock													;img/walls/transporterhull/dock_btm						   																							;true					;2												;0			;0												;0				;0				;0										;0											;000											;098											;064									;094										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
dockBL				;dock													;img/walls/transporterhull/dock_btm_east	   																							;true					;2												;0			;0												;0				;0				;0										;0											;000											;098											;064									;094										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
TRf__1				;transportFloor			;img/walls/transporterhull/greyFloor_1						 																						;false				;0												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
TRf__0				;transportFloor			;img/floor/greyFloor																							 																							;false				;0												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
TRr__0				;transporterRoof		;img/walls/transporterhull/roof_0								   																							;false				;0												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
Wv_noB				;transportwall				;img/walls/thin_wall_w							  																																				;false				;2												;0			;0												;0				;0				;0										;0											;000											;000											;020									;064										;none 						;none										;none																																					;unused0 ;unused1 ;unused2 ;unused3 ;unused4
Wv____				;transportwall				;img/walls/thin_wall_w							  																																				;true					;2												;0			;0												;0				;0				;0										;0											;000											;000											;010									;064										;none 						;none										;none																																					;unused0 ;unused1 ;unused2 ;unused3 ;unused4
Ev____				;transportwall				;img/walls/thin_wall_e							  																																				;true					;2												;0			;0												;0				;0				;0										;0											;054											;000											;010									;064										;none 						;none										;none																																					;unused0 ;unused1 ;unused2 ;unused3 ;unused4
Ev_noB				;transportwall				;img/walls/thin_wall_e							  																																				;false				;2												;0			;0												;0				;0				;0										;0											;000											;000											;020									;064										;none 						;none										;none																																					;unused0 ;unused1 ;unused2 ;unused3 ;unused4

windL0				;window											;img/walls/window/quadratic128							   																											;true					;0												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4

#freight capsule
FCdocT																					;dock																																														;img/walls/freightcapsule/dock_top																																					;true																			;2																											;0			;0												;0				;0				;0										;0											;000									 	;064									 	;064									;130										;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
FCdoLT				                 ;dock													                                 ;img/walls/freightcapsule/dock_top_left																												    ;true					              ;2												               ;0			     ;0												;0				 ;0				 ;0										;0											;000									 	;064									 	;064									;130										;none 						         ;none							          ;none									                                      ;unused0;unused1;unused2;unused3;unused4
FCdocB				                 ;dock													                                 ;img/walls/freightcapsule/dock_btm																																	    ;true					              ;2												               ;0			     ;0												;0				 ;0				 ;0										;0											;000									 	;098									 	;064									;130										;none 						         ;none							          ;none									                                      ;unused0;unused1;unused2;unused3;unused4
FCdoLB				                 ;dock													                                 ;img/walls/freightcapsule/dock_btm_left																												    ;true					              ;2												               ;0			     ;0												;0				 ;0				 ;0										;0											;000									 	;098									 	;064									;130										;none 						         ;none							          ;none									                                      ;unused0;unused1;unused2;unused3;unused4
FCendL				                 ;FCend												                                 ;img/walls/freightcapsule/end_left																																	    ;true					              ;2												               ;0			     ;0												;0				 ;0				 ;0										;0											;000									 	;000									 	;000									;000										;none 						         ;none							          ;none									                                      ;unused0;unused1;unused2;unused3;unused4
FCendR				                 ;FCend												                                 ;img/walls/freightcapsule/end_right																																    ;true					              ;2												               ;0			     ;0												;0				 ;0				 ;0										;0											;000									 	;000									 	;000									;000										;none 						         ;none							          ;none									                                      ;unused0;unused1;unused2;unused3;unused4
FChs_0				                 ;hull													                                 ;img/walls/freightcapsule/hull_0																																			    ;true					              ;1												               ;0			     ;0												;0				 ;0				 ;0										;0											;000									 	;034									 	;064									;094										;none 						         ;none							          ;none									                                      ;unused0;unused1;unused2;unused3;unused4
FCwn_0				                 ;wall													                                 ;img/walls/freightcapsule/wall_0																																			    ;true					              ;1												               ;0			     ;0												;0				 ;0				 ;0										;0											;000									 	;000									 	;000									;000										;none 						         ;none							          ;none									                                      ;unused0;unused1;unused2;unused3;unused4
FCf__0				                 ;floor												                                 ;img/walls/freightcapsule/floor_0																																		    ;false				              ;0												               ;0			     ;0												;0				 ;0				 ;0										;0											;000									 	;000									 	;000									;000										;none 						         ;none							          ;none									                                      ;unused0;unused1;unused2;unused3;unused4

#Control Room
contrL				                 ;terminal								                                  ;actorData/computer/control/small_left																													    ;true					              ;1												               ;0			     ;0												;0				 ;0				 ;0										;0											;000									 	;032									 	;064									;096										;none 															;DATA																	;dialogue_files/transporter_decks																			;unused0;unused1;unused2;unused3;unused4
contrR				                 ;terminal								                                  ;actorData/computer/control/small_right																												    ;true					              ;1												               ;0			     ;0												;0				 ;0				 ;0										;0											;000									 	;032									 	;064									;096										;none 															;DATA																	;dialogue_files/transporter_decks																			;unused0;unused1;unused2;unused3;unused4
projec				                 ;projector							                                  ;actorData/computer/projector/projector_a4																									    ;true					              ;1												               ;4			     ;5												;4				 ;1				 ;128							 ;256									;032									 	;192									 	;064									;064										;bluelight_256 						;default														;actorData/computer/projector/infoTerminal									 ;unused0;unused1;unused2;unused3;unused4
cerex_				                 ;logo												                                  ;actorData/floor/cerex_logo_128_128																																    ;false				              ;0												               ;0			     ;0												;0				 ;0				 ;000							 ;000									;000									 	;000									 	;000									;000										;none 															;none																	;none																																															;unused0;unused1;unused2;unused3;unused4
chart_				                 ;chart											                                  ;img/machines/computer/chart																																							    ;false				              ;1												               ;0			     ;0												;0				 ;0				 ;000							 ;000									;000									 	;065									 	;128									;010										;none 															;none																	;none																																															;unused0;unused1;unused2;unused3;unused4

#Machine Room
thrust				                 ;ion thruster				                                  ;actorData/transporter/reactor/ion_thruster_576_256_4					    					    ;true					              ;2												               ;005	     ;004										;004		 ;001		 ;576							 ;256									;000									 	;000									 	;000									;000										;bluelight_256							;none																	;none																																															;unused0;unused1;unused2;unused3;unused4
masch1				                 ;maschine								                                  ;img/machines/props_machine_0																																										;true					              ;1												               ;000	     ;000										;000		 ;000		 ;000							 ;000									;000									 	;032									 	;128									;096										;none 															;none																	;none																																															;unused0;unused1;unused2;unused3;unused4
opFlor				                 ;open floor						                                  ;img/machines/prop_maintenance_open_floor																														;true					              ;1												               ;000	     ;000										;000		 ;000		 ;000							 ;000									;000									 	;000									 	;000									;000										;none 															;machinery												;dialogue_files/transporter_decks																		 ;unused0;unused1;unused2;unused3;unused4

#Miscellangelious
#code     																	;name        																																						;spritename 																																																											;blocker																;heightLayer																	;fps 					;totalFrames  ;cols 	;rows 	;frameWidth ;frameHeight ;hitboxOffsetX ;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning											;dialogueId 										;dialogueFile ;unused0 ;unused1 ;unused2 ;unused3 ;unused4
elev__				                 ;elevator									                                 ;actorData/doors/updown/elevator/base_3x2								       															;false				              ;0												               ;0			     ;0												;0				 ;0				 ;0										;0											;000									 	;000									 	;000									;000										;none 															;none																	;none																																															;unused0;unused1;unused2;unused3;unused4
contrD				                 ;Control Deck                                      ;img/walls/signs/CONTROL_DECK																																										;false	                 ;1		         	               ;0			     ;0			        	;0			  ;0				 ;0				 					;0					  				;000									 	;064						  	 	;010					 			;064				   			;none 						 								;none																	;none																																														 ;unused0;unused1;unused2;unused3;unused4
signMR				                 ;Machine Room                                      ;img/walls/signs/MACHINE_ROOM																																										;false	                 ;1		         	               ;0			     ;0			        	;0			  ;0				 ;0				 					;0					  				;000									 	;064						  	 	;010					 			;064				   			;none 						 								;none																	;none																																														 ;unused0;unused1;unused2;unused3;unused4
antena				                 ;antenna										                                 ;img/machines/antenna																																																		;true					              ;1												               ;0			     ;0												;0				 ;0				 ;000								;000									;000									 	;000									 	;000									;000										;none 															;none																	;none																																															;unused0;unused1;unused2;unused3;unused4
anten0				                 ;antenna										                                 ;img/machines/antenna_big_0																																												;true					              ;1												               ;0			     ;0												;0				 ;0				 ;000								;000									;000									 	;000									 	;000									;000										;none 															;none																	;none																																															;unused0;unused1;unused2;unused3;unused4
anten1				                 ;antenna										                                 ;img/machines/antenna_big_1																																												;true					              ;1												               ;0			     ;0												;0				 ;0				 ;000								;000									;000									 	;000									 	;000									;000										;none 															;none																	;none																																															;unused0;unused1;unused2;unused3;unused4
antenR				                 ;antenna										                                 ;img/machines/antenna_radio																																												;true					              ;1												               ;0			     ;0												;0				 ;0				 ;000								;000									;000									 	;000									 	;000									;000										;none 															;none																	;none																																															;unused0;unused1;unused2;unused3;unused4
speakR				                 ;speaker										                                 ;actorData/machine/speaker/speaker_right										      					    						;false				              ;2												               ;0			     ;0												;0				 ;0				 ;000								;000									;000									 	;000									 	;000									;000										;none 															;none																	;none																																															;unused0;unused1;unused2;unused3;unused4
speakL				                 ;speaker										                                 ;actorData/machine/speaker/speaker_left											      					    						;false				              ;2												               ;0			     ;0												;0				 ;0				 ;000								;000									;000									 	;000									 	;000									;000										;none 															;none																	;none																																															;unused0;unused1;unused2;unused3;unused4
carton																					;brown carton																																						;img/container/carton_brown_0																																										;true																			;1																											;0								;0												;0					;0					;000								;000									;000									 	;000									 	;000									;000										;none 															;none																	;none																																															;unused0 ;unused1 ;unused2 ;unused3 ;unused4
cabelF																					;floor cabel																																							;img/floor/deco/floor_cabel																																												;false																		;0																											;0								;0												;0					;0					;000								;000									;000									 	;000									 	;000									;000										;none 															;none																	;none																																															;unused0 ;unused1 ;unused2 ;unused3 ;unused4
ton_rd																					;ton																																															;img/container/ton_red																																																	;true																			;1																											;0								;0												;0					;0					;000								;000 								;0000									 ;0065								 	;0064								;0064									;none 															;none																	;none																																															;unused0 ;unused1 ;unused2 ;unused3 ;unused4
ton_bl																					;ton																																															;img/container/ton_blue																																																;true																			;1																											;0								;0												;0					;0					;000								;000 								;0000									 ;0065								 	;0064								;0064									;none 															;none																	;none																																															;unused0 ;unused1 ;unused2 ;unused3 ;unused4
shelf_				                 ;shelf																					          		            ;img/furniture/storage/shelf																																											;true					    				      ;1																	          ;0			     ;0												;0				 ;0				 ;000								;000									;000											;064										 ;128									;064										;none 						         ;SHELF_BATH  									;dialogue_files/transporter_decks					;unused0 ;unused1 ;unused2 ;unused3 ;unused4
shelfV				                 ;shelf																					          		            ;img/furniture/storage/storage_shelf_vertical																										;true					    				      ;1																	          ;0			     ;0												;0				 ;0				 ;000								;000									;000											;0080									 ;064									;0100									;none 						         ;SHELF_FLUIDS									;dialogue_files/transporter_decks					;unused0 ;unused1 ;unused2 ;unused3 ;unused4


ACTORS:
#code 					;actorFileN																																								;IngameName															;sprite-status						;sensor-status										;direction
player					;actorData/player																																		;Revolutionary												;default												;default																;north
exit__					;actorData/doors/vertical/autoBulkheadVertical					;exit to docking bay						;on																	;levelchange												;west
autoDo					;actorData/doors/vertical/autoBulkheadVertical					;bulkhead																	;on																	;UNLOCKED															;west
capsuD					;actorData/doors/vertical/autoBulkheadVertical					;Capsule Bulkhead									;on									        ;textbox						          ;undefined
laddeD					;actorData/doors/updown/ladder/transporter_ladder		;ladder																			;toCrewDeck									;default																;undefined
elevSc					;actorData/doors/updown/elevator/elevator										;main elevator										  ;toCrewDeck								 ;default											     ;undefined
door_H					;actorData/doors/horizontal/automatedDoor										;bulkhead																	;on																	;UNLOCKED															;south
windL1					;actorData/quest/main/frontwindow/actor												;front window													;spaceView										;default																;undefined
metrod					;actorData/transporter/metroid/metroid													;metroid																		;default												;default																;north
metro2					;actorData/transporter/metroid/metroid2												;metroid																		;default												;default																;north
metro3					;actorData/transporter/metroid/metroid3												;metroid																		;default												;default																;north

#control center
tender					;actorData/character/tenderer/tenderer													;Julius Soulles											;day0															;default																;south
contro					;actorData/computer/control/control																;control terminal									;default												;default																;undefined


#spaceway
trigge					;actorData/floor/trigger																											;Trigger																		;20x64_off										;readyToFire_20									;undefined
roof__					;img/walls/spaceway/roof																											;roof																					;on																	;waitForMonitor									;west
roof1_					;img/walls/spaceway/roof																											;roof																					;on2																;waitForMonitor									;west
roofw_					;img/walls/spaceway/roof														             ;roof																					;full_win 						    ;waitForMonitor				     ;west

#freightcapsule
FCtr_0					                ;actorData/floor/trigger																											;Trigger																		                                             ;12x5_yellow									   ;readyToFire_12x5							     ;undefined
FCr__0					                ;img/walls/freightcapsule/roof								             ;roofFC																			                                             ;visible													   ;waitForMonitor									     ;none
FCtr_1					                ;actorData/floor/trigger																											;Trigger																		                                             ;12x5_yellow									   ;readyToFire_12x5							     ;undefined
FCr__1					                ;img/walls/freightcapsule/roof								             ;roofFC																			                                             ;visible													   ;waitForMonitor									     ;none
FCtr_3					                ;actorData/floor/trigger																											;Trigger																		                                             ;12x5_yellow									   ;readyToFire_12x5							     ;undefined
FCr__3					                ;img/walls/freightcapsule/roof								             ;roofFC																			                                             ;visible													   ;waitForMonitor									     ;none
FCtr_4					                ;actorData/floor/trigger																											;Trigger																		                                             ;12x5_yellow									   ;readyToFire_12x5							     ;undefined
FCr__4					                ;img/walls/freightcapsule/roof								             ;roofFC																			                                             ;visible													   ;waitForMonitor									     ;none
FCtr_5					                ;actorData/floor/trigger																											;Trigger																		                                             ;12x5_yellow									   ;readyToFire_12x5							     ;undefined
FCr__5					                ;img/walls/freightcapsule/roof								             ;roofFC																			                                             ;visible													   ;waitForMonitor									     ;none

#machine room
#spLock					;actorData/doors/other/space_suit_locker/locker				;Space Suit Locker							;capsule 													  ;default																;none
spLock				                 ;actorData/doors/other/space_suit_locker/locker				;Space Suit Locker								                                             ;locked 														  ;default																     ;none
reacto					                ;actorData/transporter/reactor/reactor													;Reactor																		                                             ;on																	    ;textbox																					;undefined

#collectibles
smalBx					                ;actorData/storages/boxSmall/prop																		;green Box											;default													   ;default																     ;none
largeB					                ;actorData/storages/greenBoxLarge/largeBox									;green Box											;default													   ;default																     ;none
largeC					                ;actorData/storages/greenBoxLarge/largeBox									;green Box											;cut																	   ;default																     ;none
bxCart					                ;actorData/storages/greenBoxLarge/largeBox									;green Box											;crates														   ;default																     ;none
flatBx					                ;actorData/storages/box_flat/box_flat														;green flat Box						;default													   ;default																     ;none
algaeS					                ;actorData/collectibles/food/food																		;Algae Stew				 					;algaeStew													 ;default																     ;undefined
asiaBe					                ;actorData/collectibles/food/food																		;Asia Star Bento					;asiastar														 ;default																     ;undefined

ACTORGROUPS:
#level change
#System-Name														;Logic																										;Influenced-System	;members by actorId (logic-Options: isBaseSystem)
dockingBay																 ;levelchange																				                   ;northDoor									                                                    ;exit__

#spaceway
triggerRoof											 ;transitionOnChange													;SW_roof											;trigge
SW_roof																;none																											;none														;roof__ ;roof1_ ;roofw_

#freightcapsule
trigger_FC_0											;transitionOnChange													;FC_roof_0									;FCtr_0
FC_roof_0														;none																											;none														;FCr__0
trigger_FC_1											;transitionOnChange													;FC_roof_1									;FCtr_1
FC_roof_1														;none																											;none														;FCr__1
trigger_FC_3											;transitionOnChange													;FC_roof_3									;FCtr_3
FC_roof_3														;none																											;none														;FCr__3
trigger_FC_4											;transitionOnChange													;FC_roof_4									;FCtr_4
FC_roof_4														;none																											;none														;FCr__4
trigger_FC_6											;transitionOnChange													;FC_roof_6									;FCtr_5
FC_roof_6														;none																											;none														;FCr__5

GLOBAL_SYSTEM_ACTOR:
transporter_air_system;airVeR;ventCo

POSITION:

#sets 64 bits tiles as raster ;you can add multiple layers ;later defined layers are higher prioritized in case of same defined heightLayer
#passivlayer will not be checked for interaction or collision
passivlayer:
#			;001			 	;002				;003				;004				;005				;006				;007				;008				;009				;010				;011				;012				;013				;014				;015				;016				;017				;018				;019				;020				;021				;022				;023				;024				;025				;026				;027				;028				;029				;030				;031				;032    ;033    ;034    ;035    ;036    ;037    ;038    ;039    ;040				;041				;042				;043___ ;044___ ;045___	;000046	;000047	;000048 ;000049 ;000049 ;000050 ;000051 ;000052 ;000053 ;000054 ;000055 ;000056 ;000057 ;000058 ;000059 ;000060
001 ;black_  ;black_ ;black_ ;black_ ;black_ ;black_ ;black_ ;black_ ;black_ ;space3 ;______ ;______ ;space3 ;______ ;______ ;space3 ;______ ;______ ;space3 ;______ ;______ ;space3 ;______ ;______ ;space0 ;______ ;______ ;space1 ;______ ;______ ;space2 ;______ ;______ ;space3 ;______ ;______ ;space1 ;______ ;______ ;space0 ;______ ;______ ;______ ;space1 ;______ ;______ ;______ ;space2 ;______ ;______ ;______ ;space3 ;______ ;______ ;______ ;space0 ;______ ;______ ;______ ;black_ ;black_
002 ;black_  ;metrod ;black_ ;black_ ;black_ ;black_ ;black_ ;black_ ;black_ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;black_ ;black_
003 ;black_  ;black_ ;black_ ;black_ ;black_ ;black_ ;black_ ;black_ ;black_ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;black_ ;black_
004 ;black_  ;metro2 ;black_ ;black_ ;black_ ;black_ ;black_ ;black_ ;black_ ;space3 ;______ ;______ ;space0 ;______ ;______ ;space1 ;______ ;______ ;space1 ;______ ;______ ;space1 ;______ ;______ ;space2 ;______ ;______ ;space3 ;______ ;______ ;space0 ;______ ;______ ;space1 ;______ ;______ ;space2 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;black_ ;black_
005 ;black_  ;black_ ;black_ ;black_ ;black_ ;black_ ;black_ ;black_ ;black_ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;space1 ;______ ;______ ;______ ;space2 ;______ ;______ ;______ ;space3 ;______ ;______ ;______ ;space0 ;______ ;______ ;______ ;space1 ;______ ;______ ;______ ;black_ ;black_
006 ;black_  ;metro3 ;black_ ;black_ ;black_ ;black_ ;black_ ;black_ ;black_ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;TRf__0 ;TRf__0 ;TRf__1 ;TRf__1 ;TRf__0 ;TRf__1 ;TRf__1 ;TRf__0 ;TRf__0 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;black_ ;black_
